ids,trns
tri02217 (FALSE); tri08351 (TRUE),EUCTR2020-001643-13; NCT04817332
tri08351 (TRUE),EUCTR2020-001643-13; NCT04817332
tri08408 (FALSE),NCT04832880; EUCTR2020-001854-23
tri03696 (FALSE); tri08408 (FALSE),NCT04832880; EUCTR2020-001854-23
tri06379 (TRUE); tri08417 (FALSE),ISRCTN16393332
tri06722 (FALSE); tri08422 (FALSE),ISRCTN78284710
tri08425 (FALSE); tri09392 (FALSE),ISRCTN85436698
tri08068 (TRUE); tri08426 (FALSE),ISRCTN82411169
tri08442 (FALSE); tri09405 (FALSE),EUCTR2020-005827-35
tri00718 (FALSE); tri08446 (TRUE),EUCTR2020-001381-11; NCT04329195
tri08446 (TRUE),EUCTR2020-001381-11; NCT04329195
tri08494 (FALSE),NCT04834856; EUCTR2021-000365-33
tri08494 (FALSE); tri08612 (FALSE),NCT04834856; EUCTR2021-000365-33
tri08494 (FALSE); tri08612 (FALSE),EUCTR2021-000365-33
tri08614 (FALSE); tri10203 (FALSE),EUCTR2021-000701-24
tri08623 (FALSE); tri08839 (FALSE),EUCTR2021-000872-13
tri08624 (FALSE); tri08980 (FALSE),EUCTR2020-004070-22
tri08626 (FALSE); tri09929 (FALSE),EUCTR2020-003779-17
tri08184 (FALSE); tri08810 (FALSE),ISRCTN15851697
tri08839 (FALSE),NCT04715438; EUCTR2021-000872-13
tri08623 (FALSE); tri08839 (FALSE),NCT04715438; EUCTR2021-000872-13
tri08872 (TRUE); tri08950 (FALSE),EUCTR2021-001978-37; NCT04860739
tri08872 (TRUE),EUCTR2021-001978-37; NCT04860739
tri08877 (FALSE),NCT04863131; JPRN-jRCT2041210013
tri08877 (FALSE); tri09695 (FALSE),NCT04863131; JPRN-jRCT2041210013
tri08939 (TRUE); tri08957 (TRUE),EUCTR2021-000235-30
tri06655 (TRUE); tri08942 (FALSE),EUCTR2020-003369-20
tri08872 (TRUE); tri08950 (FALSE),EUCTR2021-001978-37
tri08953 (TRUE),NCT04681430; EUCTR2020-004695-18
tri05245 (FALSE); tri08953 (TRUE),NCT04681430; EUCTR2020-004695-18
tri08957 (TRUE),NCT04746430; EUCTR2021-000235-30
tri08939 (TRUE); tri08957 (TRUE),NCT04746430; EUCTR2021-000235-30
tri08980 (FALSE),NCT04860258; EUCTR2020-004070-22
tri08624 (FALSE); tri08980 (FALSE),NCT04860258; EUCTR2020-004070-22
tri09047 (FALSE); tri09442 (FALSE),EUCTR2020-005299-36
tri09048 (FALSE); tri09132 (TRUE),EUCTR2020-003403-33
tri09049 (FALSE); tri10129 (FALSE),EUCTR2020-005315-44
tri06971 (TRUE); tri09090 (FALSE),JPRN-jRCT2031200092
tri07141 (TRUE); tri09091 (FALSE),JPRN-jRCT2031200198
tri09093 (FALSE); tri10129 (FALSE),JPRN-jRCT2031200368
tri04046 (TRUE); tri09105 (FALSE),JPRN-UMIN000043369
tri09132 (TRUE),NCT04801836; EUCTR2020-003403-33
tri09048 (FALSE); tri09132 (TRUE),NCT04801836; EUCTR2020-003403-33
tri06895 (FALSE); tri09242 (FALSE),CTRI/2021/04/032593
tri09257 (FALSE); tri09392 (FALSE),CTRI/2021/04/032791
tri02599 (TRUE); tri09318 (FALSE),CTRI/2021/05/033546
tri09392 (FALSE),NCT04732949; EUCTR2020-004743-83; ISRCTN85436698; CTRI/2021/04/032791
tri04223 (FALSE); tri09392 (FALSE),NCT04732949; EUCTR2020-004743-83; ISRCTN85436698; CTRI/2021/04/032791
tri08425 (FALSE); tri09392 (FALSE),NCT04732949; EUCTR2020-004743-83; ISRCTN85436698; CTRI/2021/04/032791
tri09257 (FALSE); tri09392 (FALSE),NCT04732949; EUCTR2020-004743-83; ISRCTN85436698; CTRI/2021/04/032791
tri07225 (TRUE); tri09395 (FALSE),NCT04746183
tri09405 (FALSE),NCT04785157; EUCTR2020-005827-35
tri08442 (FALSE); tri09405 (FALSE),NCT04785157; EUCTR2020-005827-35
tri09442 (FALSE),NCT04884295; EUCTR2020-005299-36
tri09047 (FALSE); tri09442 (FALSE),NCT04884295; EUCTR2020-005299-36
tri09457 (FALSE),NCT04892888; JPRN-jRCT2031210095
tri09457 (FALSE); tri09693 (FALSE),NCT04892888; JPRN-jRCT2031210095
tri09476 (FALSE),NCT04896541; JPRN-jRCT2071200111
tri09476 (FALSE); tri09698 (FALSE),NCT04896541; JPRN-jRCT2071200111
tri09571 (FALSE); tri09802 (FALSE),EUCTR2021-002098-25
tri09585 (TRUE); tri10297 (TRUE),NCT04710381; EUCTR2020-005524-11
tri09588 (FALSE),NCT04730206; EUCTR2020-005911-27
tri09588 (FALSE); tri09835 (FALSE),NCT04730206; EUCTR2020-005911-27
tri09683 (FALSE); tri09764 (FALSE),EUCTR2021-000408-39
tri04046 (TRUE); tri09692 (FALSE),JPRN-jRCT2031200443
tri09457 (FALSE); tri09693 (FALSE),JPRN-jRCT2031210095
tri08877 (FALSE); tri09695 (FALSE),JPRN-jRCT2041210013
tri09476 (FALSE); tri09698 (FALSE),JPRN-jRCT2071200111
tri09764 (FALSE),NCT04894474; EUCTR2021-000408-39
tri09683 (FALSE); tri09764 (FALSE),NCT04894474; EUCTR2021-000408-39
tri09766 (FALSE),NCT04900467; EUCTR2021-002174-52
tri09766 (FALSE); tri10300 (FALSE),NCT04900467; EUCTR2021-002174-52
tri09802 (FALSE),NCT04922827; EUCTR2021-002098-25
tri09571 (FALSE); tri09802 (FALSE),NCT04922827; EUCTR2021-002098-25
tri05792 (FALSE); tri09823 (FALSE),ACTRN12621000738820
tri06999 (FALSE); tri09831 (FALSE),EUCTR2020-005227-37
tri09832 (FALSE); tri10230 (FALSE),EUCTR2021-001036-25
tri09588 (FALSE); tri09835 (FALSE),EUCTR2020-005911-27
tri06302 (FALSE); tri09841 (FALSE),DRKS00022857
tri09929 (FALSE),DRKS00024585; EUCTR2020-003779-17
tri08626 (FALSE); tri09929 (FALSE),DRKS00024585; EUCTR2020-003779-17
tri07002 (FALSE); tri10117 (TRUE),NCT04546581
tri10129 (FALSE),NCT04723394; EUCTR2020-005315-44; JPRN-jRCT2031200368
tri09049 (FALSE); tri10129 (FALSE),NCT04723394; EUCTR2020-005315-44; JPRN-jRCT2031200368
tri09093 (FALSE); tri10129 (FALSE),NCT04723394; EUCTR2020-005315-44; JPRN-jRCT2031200368
tri10177 (TRUE),NCT04878055; EUCTR2020-005919-51
tri08255 (FALSE); tri10177 (TRUE),NCT04878055; EUCTR2020-005919-51
tri10203 (FALSE),NCT04927936; EUCTR2021-000701-24
tri08614 (FALSE); tri10203 (FALSE),NCT04927936; EUCTR2021-000701-24
tri08065 (FALSE); tri10204 (FALSE),NCT04928430
tri10230 (FALSE),NCT04932915; EUCTR2021-001036-25
tri09832 (FALSE); tri10230 (FALSE),NCT04932915; EUCTR2021-001036-25
tri09766 (FALSE); tri10300 (FALSE),EUCTR2021-002174-52
tri03212 (TRUE); tri10336 (TRUE),NCT04382053; EUCTR2020-001870-32; PER-055-20
tri07001 (TRUE); tri10339 (FALSE),PER-095-20
