id,date_completion,date_cutoff,publication_any,publication_article,publication_preprint,publication_summary,publication_interim_any,date_publication_any,date_publication_article,date_publication_preprint,date_publication_summary,date_publication_interim_any,time_publication_any,time_publication_article,time_publication_preprint,time_publication_summary,time_publication_interim_any
tri02655,2021-05-14,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,93,93,93,93,93
tri02666,2020-12-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,227,227,227,227,227
tri02672,2020-12-16,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,242,242,242,242,242
tri02674,2020-06-25,2021-08-15,TRUE,FALSE,FALSE,TRUE,TRUE,2020-10-24,NA,NA,2020-10-24,2020-10-24,121,416,416,121,121
tri02771,2020-05-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,441,441,441,441,441
tri02772,2020-05-18,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-08-19,2020-08-19,NA,NA,2020-08-19,93,93,454,454,93
tri02773,2020-06-13,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,428,428,428,428,428
tri02778,2020-08-20,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-03-11,2021-03-11,NA,NA,2021-03-11,203,203,360,360,203
tri02779,2021-01-14,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,213,213,213,213,213
tri02795,2020-09-27,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,322,322,322,322,322
tri02845,2020-05-25,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2020-10-19,NA,2020-10-19,NA,2020-10-19,147,447,147,447,147
tri02852,2021-03-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,137,137,137,137,137
tri02863,2020-05-16,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2020-07-20,NA,2020-07-20,NA,2020-07-20,65,456,65,456,65
tri02875,2021-04-14,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,123,123,123,123,123
tri02882,2021-01-15,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,212,212,212,212,212
tri02883,2020-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,411,411,411,411,411
tri02884,2020-08-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,349,349,349,349,349
tri02885,2020-05-21,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,451,451,451,451,451
tri02888,2020-07-15,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,396,396,396,396,396
tri02890,2020-11-25,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,263,263,263,263,263
tri02908,2020-07-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,2020-08-04,381,381,381,381,5
tri02910,2021-01-15,2021-08-15,TRUE,TRUE,FALSE,TRUE,TRUE,2020-09-09,2021-01-29,NA,2020-09-09,2020-09-09,-128,14,212,-128,-128
tri02912,2020-07-31,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-11-25,2020-11-25,NA,NA,2020-06-04,117,117,380,380,-57
tri02914,2020-04-30,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-06-02,2020-09-17,2020-06-02,NA,2020-06-02,33,140,33,472,33
tri02915,2020-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,411,411,411,411,411
tri02918,2020-06-29,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-09-15,2020-12-11,2020-09-15,NA,2020-09-15,78,165,78,412,78
tri02921,2020-08-23,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,357,357,357,357,357
tri02924,2021-05-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,76,76,76,76,76
tri02929,2020-08-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,349,349,349,349,349
tri02933,2020-09-02,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-05-14,NA,2021-05-14,NA,2021-05-14,254,347,254,347,254
tri02934,2020-05-20,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-07-17,2020-10-20,2020-07-17,NA,2020-07-17,58,153,58,452,58
tri02937,2021-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,46,46,46,46,46
tri02942,2020-08-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,379,379,379,379,379
tri02943,2020-08-30,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2020-11-03,NA,2020-11-03,NA,2020-11-03,65,350,65,350,65
tri02944,2021-06-16,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-07-03,NA,2021-07-03,NA,2021-07-03,17,60,17,60,17
tri02951,2021-04-23,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,114,114,114,114,114
tri02957,2020-12-25,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2020-11-28,NA,2020-11-28,NA,2020-11-28,-27,233,-27,233,-27
tri02960,2021-06-04,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,72,72,72,72,72
tri02961,2021-04-05,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-02-19,NA,2021-02-19,NA,2021-02-19,-45,132,-45,132,-45
tri02964,2021-04-20,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2021-04-15,2021-07-09,2021-04-15,NA,2021-04-15,-5,80,-5,117,-5
tri02968,2021-04-12,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,125,125,125,125,125
tri02970,2021-05-14,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,93,93,93,93,93
tri02972,2021-01-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,226,226,226,226,226
tri02973,2021-02-01,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-04-22,2021-04-22,NA,NA,2021-04-22,80,80,195,195,80
