id,date_completion,date_cutoff,publication_any,publication_article,publication_preprint,publication_summary,publication_interim_any,date_publication_any,date_publication_article,date_publication_preprint,date_publication_summary,date_publication_interim_any,time_publication_any,time_publication_article,time_publication_preprint,time_publication_summary,time_publication_interim_any,month_completion,semester,semester_fct
tri06084,2021-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,46,46,46,46,46,2021-06-01,3,Jan 2021-Jun 2021
tri06085,2020-12-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,257,257,257,257,257,2020-12-01,2,July 2020-Dec 2020
tri06086,2021-01-26,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-06-04,2021-06-04,NA,NA,2021-06-04,129,129,201,201,129,2021-01-01,3,Jan 2021-Jun 2021
tri06087,2020-10-30,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-04-15,NA,2021-04-15,NA,2021-04-15,167,289,167,289,167,2020-10-01,2,July 2020-Dec 2020
tri06088,2020-09-04,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2021-01-05,2021-06-29,2021-01-05,NA,2021-01-05,123,298,123,345,123,2020-09-01,2,July 2020-Dec 2020
tri06091,2020-11-20,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,268,268,268,268,268,2020-11-01,2,July 2020-Dec 2020
tri06097,2021-02-28,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,168,168,168,168,168,2021-02-01,3,Jan 2021-Jun 2021
tri06103,2020-08-22,2021-08-15,TRUE,TRUE,FALSE,TRUE,TRUE,2020-10-09,2021-05-13,NA,2020-10-09,2020-10-09,48,264,358,48,48,2020-08-01,2,July 2020-Dec 2020
tri06107,2021-06-04,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,72,72,72,72,72,2021-06-01,3,Jan 2021-Jun 2021
tri06110,2021-05-15,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,92,92,92,92,92,2021-05-01,3,Jan 2021-Jun 2021
tri06114,2020-09-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,319,319,319,319,319,2020-09-01,2,July 2020-Dec 2020
tri06120,2021-05-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,76,76,76,76,76,2021-05-01,3,Jan 2021-Jun 2021
tri06127,2021-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,46,46,46,46,46,2021-06-01,3,Jan 2021-Jun 2021
tri06128,2021-03-02,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,166,166,166,166,166,2021-03-01,3,Jan 2021-Jun 2021
tri06130,2020-08-11,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,369,369,369,369,369,2020-08-01,2,July 2020-Dec 2020
tri06132,2020-11-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,258,258,258,258,258,2020-11-01,2,July 2020-Dec 2020
tri06139,2020-11-15,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,273,273,273,273,273,2020-11-01,2,July 2020-Dec 2020
tri06140,2021-05-01,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-03-24,2021-03-24,NA,NA,2021-03-24,-38,-38,106,106,-38,2021-05-01,3,Jan 2021-Jun 2021
tri06144,2021-04-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,107,107,107,107,107,2021-04-01,3,Jan 2021-Jun 2021
tri06146,2021-05-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,106,106,106,106,106,2021-05-01,3,Jan 2021-Jun 2021
tri06147,2021-03-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,137,137,137,137,137,2021-03-01,3,Jan 2021-Jun 2021
tri06148,2021-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,46,46,46,46,46,2021-06-01,3,Jan 2021-Jun 2021
tri06155,2021-03-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,137,137,137,137,137,2021-03-01,3,Jan 2021-Jun 2021
tri06156,2021-02-22,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-07-02,2021-07-02,NA,NA,2021-07-02,130,130,174,174,130,2021-02-01,3,Jan 2021-Jun 2021
tri06157,2020-11-25,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-08-14,2021-08-14,NA,NA,2021-08-14,262,262,263,263,262,2020-11-01,2,July 2020-Dec 2020
tri06158,2020-09-01,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-11-03,2020-11-03,NA,NA,2020-11-03,63,63,348,348,63,2020-09-01,2,July 2020-Dec 2020
tri06159,2021-05-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,2021-02-02,106,106,106,106,-88,2021-05-01,3,Jan 2021-Jun 2021
tri06160,2021-04-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,136,136,136,136,136,2021-04-01,3,Jan 2021-Jun 2021
tri06161,2020-07-08,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-05-21,NA,2021-05-21,NA,2021-05-21,317,403,317,403,317,2020-07-01,2,July 2020-Dec 2020
tri06162,2021-04-30,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-06-10,NA,2021-06-10,NA,2021-06-10,41,107,41,107,41,2021-04-01,3,Jan 2021-Jun 2021
tri06167,2020-10-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,289,289,289,289,289,2020-10-01,2,July 2020-Dec 2020
tri06169,2021-06-10,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,66,66,66,66,66,2021-06-01,3,Jan 2021-Jun 2021
tri06187,2021-06-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,75,75,75,75,75,2021-06-01,3,Jan 2021-Jun 2021
tri06189,2021-06-08,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,68,68,68,68,68,2021-06-01,3,Jan 2021-Jun 2021
tri06191,2020-09-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,2021-03-03,319,319,319,319,154,2020-09-01,2,July 2020-Dec 2020
tri06201,2020-12-12,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,246,246,246,246,246,2020-12-01,2,July 2020-Dec 2020
tri06203,2020-12-30,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2020-09-07,NA,2020-09-07,NA,2020-09-07,-114,228,-114,228,-114,2020-12-01,2,July 2020-Dec 2020
