id,date_completion,date_cutoff,publication_any,publication_article,publication_preprint,publication_summary,publication_interim_any,date_publication_any,date_publication_article,date_publication_preprint,date_publication_summary,date_publication_interim_any,time_publication_any,time_publication_article,time_publication_preprint,time_publication_summary,time_publication_interim_any
tri05964,2021-04-10,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,127,127,127,127,127
tri05982,2021-01-09,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,218,218,218,218,218
tri06001,2021-06-16,2021-08-15,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,2021-05-26,60,60,60,60,-21
tri06014,2021-06-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,75,75,75,75,75
tri06047,2021-05-12,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,95,95,95,95,95
tri06069,2020-12-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,227,227,227,227,227
tri06087,2020-10-30,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-04-15,NA,2021-04-15,NA,2021-04-15,167,289,167,289,167
tri06088,2020-09-04,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2021-01-05,2021-06-29,2021-01-05,NA,2021-01-05,123,298,123,345,123
tri06103,2020-08-22,2021-08-15,TRUE,TRUE,FALSE,TRUE,TRUE,2020-10-09,2021-05-13,NA,2020-10-09,2020-10-09,48,264,358,48,48
tri06127,2021-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,46,46,46,46,46
tri06132,2020-11-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,258,258,258,258,258
tri06140,2021-05-01,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-03-24,2021-03-24,NA,NA,2021-03-24,-38,-38,106,106,-38
tri06146,2021-05-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,106,106,106,106,106
tri06148,2021-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,46,46,46,46,46
tri06155,2021-03-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,137,137,137,137,137
tri06156,2021-02-22,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-07-02,2021-07-02,NA,NA,2021-07-02,130,130,174,174,130
tri06157,2020-11-25,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-08-14,2021-08-14,NA,NA,2021-08-14,262,262,263,263,262
tri06159,2021-05-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,2021-02-02,106,106,106,106,-88
tri06160,2021-04-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,136,136,136,136,136
tri06161,2020-07-08,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-05-21,NA,2021-05-21,NA,2021-05-21,317,403,317,403,317
tri06167,2020-10-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,289,289,289,289,289
tri06169,2021-06-10,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,66,66,66,66,66
tri06187,2021-06-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,75,75,75,75,75
tri06189,2021-06-08,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,68,68,68,68,68
tri06191,2020-09-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,2021-03-03,319,319,319,319,154
