id,date_completion_rcd_latest,date_completion_rcd_latest_pre_cutoff,date_completion_last_updated_exclude_missing_update_date,date_completion_last_updated_prefer_euctr,trial_status_last_updated_prefer_euctr,status_complete_last_updated_prefer_euctr,trn_ictrp_priority,date_completion_ictrp,date_completion_22_21_last_updated_prefer_euctr,date_completion_study_last_updated_prefer_euctr,date_completion_results
tri01286,2021-09-30,NA,2021-09-30,2021-09-30,Recruiting,FALSE,NCT04345848,2021-09-30,2021-06-02,2021-09-30,NA
tri01287,2021-09-01,NA,2021-09-01,2021-09-01,Recruiting,FALSE,NCT04347226,2021-09-01,2021-03-01,2022-09-01,NA
tri01288,2021-07-09,NA,2021-07-09,2021-07-09,"Active, not recruiting",FALSE,NCT04348435,2021-07-09,2021-07-09,2021-07-30,NA
tri01289,2020-11-24,2020-11-24,2020-11-24,2020-11-24,Completed,TRUE,NCT04349631,2020-11-24,2020-11-24,2021-05-01,NA
tri01290,2020-08-23,2020-08-23,2020-08-23,2020-08-23,Terminated,TRUE,NCT04351191,2020-08-23,2020-08-23,2020-08-30,NA
tri01291,2020-06-30,2020-06-30,2020-06-30,2020-06-30,Not yet recruiting,FALSE,NCT04352465,2020-06-30,2020-06-30,2020-11-30,NA
tri01292,2020-07-08,2020-07-08,2020-07-08,2020-07-08,Terminated,TRUE,NCT04353271,2020-07-08,2020-07-08,2020-07-08,NA
tri01294,2021-04-30,2021-04-30,2021-04-30,2021-04-30,Recruiting,FALSE,NCT04356833,2021-04-30,2021-04-30,2021-04-30,NA
tri01297,2021-12-31,NA,2021-12-31,2021-12-31,Not yet recruiting,FALSE,NCT04359225,2021-12-31,2021-12-31,2021-12-31,NA
tri01298,2021-08-01,NA,2021-08-01,2021-08-01,Recruiting,FALSE,NCT04359654,2021-08-01,2021-08-12,2021-11-01,NA
tri01300,2020-12-17,2020-12-17,2020-12-17,2020-12-17,"Active, not recruiting",FALSE,NCT04359797,2020-12-17,2020-12-17,2021-06-01,NA
tri01301,2020-12-30,2020-12-30,2020-12-30,2020-12-30,Completed,TRUE,NCT04359810,2020-12-30,2020-12-30,2020-12-30,2020-12-25
tri01303,2021-08-31,NA,2021-08-31,2021-08-31,Not yet recruiting,FALSE,NCT04361643,2021-08-31,2021-08-31,2021-12-31,NA
tri01305,2021-11-30,NA,2021-11-30,2021-11-30,Recruiting,FALSE,NCT04361942,2021-11-30,2021-11-30,2021-12-31,NA
tri01306,2021-05-31,2021-05-31,2021-05-31,2021-05-31,Recruiting,FALSE,NCT04362176,2021-05-31,2021-07-06,2021-07-31,NA
tri01311,2020-07-30,2020-07-30,2020-07-30,2020-07-30,Not yet recruiting,FALSE,NCT04363060,2020-07-30,2020-07-30,2020-07-30,NA
tri01312,2021-03-31,2021-03-31,2021-03-31,2021-03-31,Recruiting,FALSE,NCT04363450,2021-03-31,2021-03-31,2021-06-01,NA
tri01313,2022-04-01,NA,2022-04-01,2022-04-01,Recruiting,FALSE,NCT04364828,2022-04-01,2022-04-01,2022-08-01,NA
tri01315,2020-04-01,2020-04-01,2020-04-01,2020-04-01,Enrolling by invitation,FALSE,NCT04365309,2020-04-01,2020-04-01,2020-06-01,NA
tri01320,2020-06-06,2020-06-06,2020-06-06,2020-06-06,Recruiting,FALSE,NCT04366063,2020-06-06,2020-06-06,2020-12-10,NA
tri01321,2020-10-30,2020-10-30,2020-10-30,2020-10-30,Recruiting,FALSE,NCT04366089,2020-10-30,2020-10-30,2020-12-31,NA
tri01324,2020-06-01,2020-06-01,2020-06-01,2020-06-01,Recruiting,FALSE,NCT04366180,2020-06-01,2020-06-01,2020-10-01,NA
