id,date_cutoff,date_completion,publication_any,publication_article,publication_preprint,publication_summary,publication_interim_any,date_publication_any,date_publication_article,date_publication_preprint,date_publication_summary,date_publication_interim_any,time_publication_any,time_publication_article,time_publication_preprint,time_publication_summary,time_publication_interim_any
tri00031,2021-07-01,2020-08-14,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,321,321,321,321,321
tri00034,2021-07-01,2021-01-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,151,151,151,151,151
tri00037,2021-07-01,2020-10-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,243,243,243,243,243
tri00039,2021-07-01,2020-12-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,183,183,183,183,183
tri00043,2021-07-01,2020-06-30,TRUE,TRUE,FALSE,FALSE,TRUE,2020-05-28,2020-05-28,NA,NA,2020-05-28,-33,-33,366,366,-33
tri00044,2021-07-01,2020-12-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,182,182,182,182,182
tri00045,2021-07-01,2020-04-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,427,427,427,427,427
tri00046,2021-07-01,2020-05-12,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,415,415,415,415,415
tri00047,2021-07-01,2020-05-10,TRUE,TRUE,TRUE,FALSE,TRUE,2020-08-29,2021-03-09,2020-08-29,NA,2020-08-29,111,303,111,417,111
tri00049,2021-07-01,2020-05-31,TRUE,FALSE,TRUE,FALSE,TRUE,2021-02-03,NA,2021-02-03,NA,2021-02-03,248,396,248,396,248
tri00054,2021-07-01,2021-02-10,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,141,141,141,141,141
tri00055,2021-07-01,2020-12-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,182,182,182,182,182
tri00056,2021-07-01,2020-12-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,182,182,182,182,182
tri00062,2021-07-01,2020-04-14,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,443,443,443,443,443
tri00065,2021-07-01,2020-07-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,336,336,336,336,336
tri00070,2021-07-01,2020-12-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,182,182,182,182,182
tri00071,2021-07-01,2020-12-31,TRUE,TRUE,TRUE,FALSE,TRUE,2020-05-04,2020-05-28,2020-05-04,NA,2020-05-04,-241,-217,-241,182,-241
tri00073,2021-07-01,2020-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,396,396,396,396,396
tri00074,2021-07-01,2020-08-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,334,334,334,334,334
tri00075,2021-07-01,2020-08-01,TRUE,TRUE,FALSE,FALSE,TRUE,2020-08-08,2020-08-08,NA,NA,2020-08-08,7,7,334,334,7
tri00076,2021-07-01,2020-04-29,TRUE,TRUE,FALSE,FALSE,TRUE,2020-03-18,2020-03-18,NA,NA,2020-03-18,-42,-42,428,428,-42
tri00077,2021-07-01,2020-04-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,427,427,427,427,427
tri00080,2021-07-01,2020-02-29,TRUE,FALSE,TRUE,FALSE,TRUE,2020-03-30,NA,2020-03-30,NA,2020-03-30,30,488,30,488,30
tri00082,2021-07-01,2020-06-03,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,393,393,393,393,393
tri00083,2021-07-01,2020-05-31,TRUE,TRUE,TRUE,FALSE,TRUE,2020-05-05,2020-10-25,2020-05-05,NA,2020-05-05,-26,147,-26,396,-26
tri00084,2021-07-01,2020-07-30,TRUE,TRUE,FALSE,FALSE,TRUE,2020-04-01,2020-04-01,NA,NA,2020-04-01,-120,-120,336,336,-120
tri00085,2021-07-01,2020-12-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,212,212,212,212,212
tri00086,2021-07-01,2021-02-02,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,149,149,149,149,149
tri00087,2021-07-01,2020-04-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,427,427,427,427,427
tri00088,2021-07-01,2020-04-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,427,427,427,427,427
tri00091,2021-07-01,2020-03-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,457,457,457,457,457
tri00092,2021-07-01,2020-06-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,366,366,366,366,366
tri00100,2021-07-01,2020-12-31,TRUE,TRUE,FALSE,FALSE,TRUE,2020-08-01,2020-08-01,NA,NA,2020-08-01,-152,-152,182,182,-152
tri00101,2021-07-01,2020-03-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,457,457,457,457,457
tri00102,2021-07-01,2020-04-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,427,427,427,427,427
tri00105,2021-07-01,2020-08-31,TRUE,TRUE,TRUE,FALSE,TRUE,2020-04-01,2020-05-27,2020-04-01,NA,2020-04-01,-152,-96,-152,304,-152
tri00106,2021-07-01,2020-12-31,TRUE,TRUE,FALSE,FALSE,TRUE,2020-10-08,2020-10-08,NA,NA,2020-10-08,-84,-84,182,182,-84
tri00107,2021-07-01,2020-12-31,TRUE,TRUE,FALSE,FALSE,TRUE,2021-07-28,2021-07-28,NA,NA,2021-07-28,209,209,182,182,209
tri00108,2021-07-01,2020-04-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,427,427,427,427,427
tri00109,2021-07-01,2020-03-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,458,458,458,458,458
tri00112,2021-07-01,2020-04-17,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,440,440,440,440,440
tri00113,2021-07-01,2020-07-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,335,335,335,335,335
tri00114,2021-07-01,2020-09-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,303,303,303,303,303
tri00115,2021-07-01,2020-05-14,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,413,413,413,413,413
tri00116,2021-07-01,2020-12-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,182,182,182,182,182
tri00118,2021-07-01,2020-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,396,396,396,396,396
tri00123,2021-07-01,2020-08-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,304,304,304,304,304
tri00125,2021-07-01,2020-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,396,396,396,396,396
tri00126,2021-07-01,2020-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,396,396,396,396,396
tri00132,2021-07-01,2020-08-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,304,304,304,304,304
tri00137,2021-07-01,2020-05-30,TRUE,TRUE,FALSE,FALSE,TRUE,2020-09-21,2020-09-21,NA,NA,2020-07-21,114,114,397,397,52
tri00139,2021-07-01,2020-05-21,TRUE,FALSE,TRUE,FALSE,TRUE,2020-06-22,NA,2020-06-22,NA,2020-06-22,32,406,32,406,32
tri00140,2021-07-01,2020-04-07,TRUE,TRUE,FALSE,FALSE,TRUE,2020-04-06,2020-04-06,NA,NA,2020-04-06,-1,-1,450,450,-1
tri00141,2021-07-01,2020-12-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,182,182,182,182,182
tri00142,2021-07-01,2020-06-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,366,366,366,366,366
tri00143,2021-07-01,2020-02-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,516,516,516,516,516
tri00144,2021-07-01,2020-06-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,366,366,366,366,366
tri00145,2021-07-01,2020-06-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,366,366,366,366,366
tri00148,2021-07-01,2020-05-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,397,397,397,397,397
tri00149,2021-07-01,2021-02-18,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,133,133,133,133,133
tri00157,2021-07-01,2020-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,396,396,396,396,396
tri00159,2021-07-01,2020-04-10,TRUE,TRUE,FALSE,FALSE,TRUE,2020-09-10,2020-09-10,NA,NA,2020-09-10,153,153,447,447,153
tri00160,2021-07-01,2020-05-19,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,408,408,408,408,408
tri00162,2021-07-01,2020-07-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,365,365,365,365,365
tri00163,2021-07-01,2020-07-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,336,336,336,336,336
tri00164,2021-07-01,2020-05-28,TRUE,TRUE,FALSE,TRUE,TRUE,2020-06-17,2020-09-08,NA,2020-06-17,2020-06-17,20,103,399,20,20
tri00167,2021-07-01,2020-04-20,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,437,437,437,437,437
tri00169,2021-07-01,2020-08-19,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,316,316,316,316,316
tri00170,2021-07-01,2020-05-20,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,407,407,407,407,407
tri00171,2021-07-01,2020-03-31,TRUE,TRUE,FALSE,FALSE,TRUE,2020-03-13,2020-03-13,NA,NA,2020-03-13,-18,-18,457,457,-18
tri00172,2021-07-01,2020-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,396,396,396,396,396
tri00173,2021-07-01,2020-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,396,396,396,396,396
tri00176,2021-07-01,2020-07-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,335,335,335,335,335
tri00177,2021-07-01,2020-08-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,304,304,304,304,304
tri00178,2021-07-01,2020-05-17,TRUE,FALSE,TRUE,FALSE,TRUE,2021-02-01,NA,2021-02-01,NA,2021-02-01,260,410,260,410,260
tri00179,2021-07-01,2020-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,396,396,396,396,396
tri00182,2021-07-01,2020-02-10,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,507,507,507,507,507
tri00185,2021-07-01,2020-03-10,TRUE,FALSE,TRUE,FALSE,TRUE,2020-04-21,NA,2020-04-21,NA,2020-04-21,42,478,42,478,42
tri00187,2021-07-01,2020-06-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,366,366,366,366,366
tri00188,2021-07-01,2020-06-09,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,387,387,387,387,387
tri00189,2021-07-01,2020-02-29,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,488,488,488,488,488
tri00191,2021-07-01,2020-05-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,397,397,397,397,397
tri00192,2021-07-01,2020-04-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,427,427,427,427,427
tri00193,2021-07-01,2020-03-09,TRUE,TRUE,TRUE,FALSE,TRUE,2020-03-24,2021-05-17,2020-03-24,NA,2020-03-24,15,434,15,479,15
tri00202,2021-07-01,2020-08-27,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,308,308,308,308,308
tri00205,2021-07-01,2021-03-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,122,122,122,122,122
tri00220,2021-07-01,2021-03-30,TRUE,TRUE,FALSE,FALSE,TRUE,2021-02-18,2021-02-18,NA,NA,2021-02-18,-40,-40,93,93,-40
tri00222,2021-07-01,2020-04-28,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,429,429,429,429,429
tri00227,2021-07-01,2021-02-23,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,128,128,128,128,128
tri00230,2021-07-01,2020-05-31,TRUE,FALSE,TRUE,FALSE,TRUE,2020-10-12,NA,2020-10-12,NA,2020-10-12,134,396,134,396,134
tri00232,2021-07-01,2020-04-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,427,427,427,427,427
tri00233,2021-07-01,2020-08-20,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,315,315,315,315,315
tri00235,2021-07-01,2020-07-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,335,335,335,335,335
tri00238,2021-07-01,2020-12-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,182,182,182,182,182
tri00241,2021-07-01,2020-12-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,182,182,182,182,182
tri00242,2021-07-01,2020-06-25,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,371,371,371,371,371
tri00243,2021-07-01,2020-12-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,182,182,182,182,182
tri00244,2021-07-01,2020-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,396,396,396,396,396
tri00248,2021-07-01,2020-05-22,TRUE,TRUE,FALSE,FALSE,TRUE,2020-12-03,2020-12-03,NA,NA,2020-12-03,195,195,405,405,195
tri00249,2021-07-01,2020-06-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,366,366,366,366,366
tri00250,2021-07-01,2020-07-18,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,348,348,348,348,348
tri00251,2021-07-01,2020-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,396,396,396,396,396
tri00254,2021-07-01,2020-04-30,TRUE,TRUE,FALSE,FALSE,TRUE,2021-04-01,2021-04-01,NA,NA,2021-04-01,336,336,427,427,336
tri00255,2021-07-01,2020-04-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,427,427,427,427,427
tri00261,2021-07-01,2020-05-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,397,397,397,397,397
tri00263,2021-07-01,2021-01-25,TRUE,TRUE,FALSE,FALSE,TRUE,2020-07-14,2020-07-14,NA,NA,2020-07-14,-195,-195,157,157,-195
tri00264,2021-07-01,2021-01-29,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,153,153,153,153,153
tri00265,2021-07-01,2020-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,396,396,396,396,396
tri00267,2021-07-01,2020-07-07,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,359,359,359,359,359
tri00269,2021-07-01,2021-02-28,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,123,123,123,123,123
tri00270,2021-07-01,2020-05-30,TRUE,TRUE,TRUE,FALSE,TRUE,2020-08-04,2020-11-28,2020-08-04,NA,2020-08-04,66,182,66,397,66
tri00285,2021-07-01,2020-06-08,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,388,388,388,388,388
tri00286,2021-07-01,2020-03-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,458,458,458,458,458
tri00288,2021-07-01,2020-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,396,396,396,396,396
tri00293,2021-07-01,2020-03-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,457,457,457,457,457
tri00295,2021-07-01,2020-05-04,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,423,423,423,423,423
tri00297,2021-07-01,2021-01-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,151,151,151,151,151
tri00299,2021-07-01,2020-04-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,427,427,427,427,427
tri00301,2021-07-01,2021-02-25,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,126,126,126,126,126
tri00302,2021-07-01,2020-06-25,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,371,371,371,371,371
tri00303,2021-07-01,2020-06-25,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,371,371,371,371,371
tri00304,2021-07-01,2020-06-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,366,366,366,366,366
tri00305,2021-07-01,2020-04-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,427,427,427,427,427
tri00306,2021-07-01,2020-05-27,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,400,400,400,400,400
tri00317,2021-07-01,2020-08-20,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,315,315,315,315,315
tri00319,2021-07-01,2021-02-05,TRUE,TRUE,FALSE,FALSE,TRUE,2020-06-03,2020-06-03,NA,NA,2020-06-03,-247,-247,146,146,-247
tri00320,2021-07-01,2020-12-31,TRUE,TRUE,FALSE,FALSE,TRUE,2020-05-26,2020-05-26,NA,NA,2020-05-26,-219,-219,182,182,-219
tri00324,2021-07-01,2021-01-10,TRUE,TRUE,FALSE,FALSE,TRUE,2020-03-18,2020-03-18,NA,NA,2020-03-18,-298,-298,172,172,-298
tri00327,2021-07-01,2020-07-03,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,363,363,363,363,363
tri00328,2021-07-01,2020-07-14,TRUE,TRUE,FALSE,FALSE,TRUE,2021-05-12,2021-05-12,NA,NA,2021-05-12,302,302,352,352,302
tri00329,2021-07-01,2021-02-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,150,150,150,150,150
tri00335,2021-07-01,2021-05-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,61,61,61,61,61
tri00336,2021-07-01,2021-03-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,93,93,93,93,93
tri00343,2021-07-01,2020-07-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,335,335,335,335,335
tri00352,2021-07-01,2020-05-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,426,426,426,426,426
tri00354,2021-07-01,2020-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,396,396,396,396,396
tri00358,2021-07-01,2020-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,396,396,396,396,396
tri00361,2021-07-01,2020-06-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,366,366,366,366,366
tri00362,2021-07-01,2021-02-14,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,137,137,137,137,137
tri00373,2021-07-01,2020-03-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,458,458,458,458,458
tri00378,2021-07-01,2021-03-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,92,92,92,92,92
tri00390,2021-07-01,2020-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,396,396,396,396,396
tri00392,2021-07-01,2020-07-12,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,354,354,354,354,354
tri00397,2021-07-01,2020-04-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,456,456,456,456,456
tri00399,2021-07-01,2020-05-17,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,410,410,410,410,410
tri00407,2021-07-01,2020-12-25,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,188,188,188,188,188
tri00409,2021-07-01,2020-08-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,304,304,304,304,304
tri00418,2021-07-01,2020-05-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,397,397,397,397,397
tri00424,2021-07-01,2020-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,396,396,396,396,396
tri00425,2021-07-01,2020-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,320,320,320,320,320
tri00426,2021-07-01,2020-09-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,274,274,274,274,274
tri00427,2021-07-01,2020-09-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,274,274,274,274,274
tri00440,2021-07-01,2020-04-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,427,427,427,427,427
tri00453,2021-07-01,2020-03-25,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,463,463,463,463,463
tri00473,2021-07-01,2020-03-02,TRUE,TRUE,TRUE,FALSE,TRUE,2020-08-10,2021-01-09,2020-08-10,NA,2020-08-10,161,313,161,486,161
tri00476,2021-07-01,2021-06-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,1,1,1,1,1
tri00482,2021-07-01,2021-03-19,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,104,104,104,104,104
tri00483,2021-07-01,2020-12-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,182,182,182,182,182
tri00502,2021-07-01,2020-04-10,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,447,447,447,447,447
tri00503,2021-07-01,2020-08-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,304,304,304,304,304
tri00507,2021-07-01,2020-10-01,TRUE,FALSE,TRUE,FALSE,TRUE,2020-05-15,NA,2020-05-15,NA,2020-05-15,-139,273,-139,273,-139
tri00512,2021-07-01,2020-06-16,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,380,380,380,380,380
tri00513,2021-07-01,2020-08-26,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,309,309,309,309,309
tri00521,2021-07-01,2020-03-20,TRUE,FALSE,TRUE,FALSE,TRUE,2020-03-20,NA,2020-03-20,NA,2020-03-20,0,468,0,468,0
tri00526,2021-07-01,2020-06-30,TRUE,TRUE,TRUE,FALSE,TRUE,2020-04-14,2020-05-14,2020-04-14,NA,2020-04-14,-77,-47,-77,366,-77
tri00529,2021-07-01,2020-06-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,366,366,366,366,366
tri00530,2021-07-01,2021-01-29,TRUE,TRUE,TRUE,FALSE,TRUE,2020-04-29,2020-08-02,2020-04-29,NA,2020-04-29,-275,-180,-275,153,-275
tri00534,2021-07-01,2020-06-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,395,395,395,395,395
tri00535,2021-07-01,2020-06-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,395,395,395,395,395
tri00536,2021-07-01,2020-05-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,426,426,426,426,426
tri00537,2021-07-01,2020-06-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,395,395,395,395,395
tri00538,2021-07-01,2020-04-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,427,427,427,427,427
tri00543,2021-07-01,2020-08-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,334,334,334,334,334
tri00546,2021-07-01,2020-03-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,487,487,487,487,487
tri00549,2021-07-01,2021-03-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,122,122,122,122,122
tri00552,2021-07-01,2020-06-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,366,366,366,366,366
