id,trn_all,in_ictrp,trn_ictrp,n_ictrp,is_intervention,is_reg_2020,is_not_withdrawn_ictrp,in_registries,trn_registries,n_registries,is_not_withdrawn_registry,is_any_rcd_cutoff_3,is_not_withdrawn_auto,is_not_phase_1_manually_excluded,is_clinical_trial_manual,is_covid_manual,is_not_withdrawn_manual,is_extracted,is_pass_screening_auto,is_pass_screening_manual_ignore_cd,is_pass_screening_manual
tri00051,ChiCTR2000029756,TRUE,ChiCTR2000029756,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029756,1,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
tri00052,ChiCTR2000029754,TRUE,ChiCTR2000029754,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029754,1,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00053,ChiCTR2000029751,TRUE,ChiCTR2000029751,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029751,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00054,ChiCTR2000029747,TRUE,ChiCTR2000029747,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029747,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00055,ChiCTR2000029742,TRUE,ChiCTR2000029742,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029742,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00056,ChiCTR2000029741,TRUE,ChiCTR2000029741,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029741,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00057,ChiCTR2000029739,TRUE,ChiCTR2000029739,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029739,1,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
tri00058,ChiCTR2000029735,TRUE,ChiCTR2000029735,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029735,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00059,ChiCTR2000029734,TRUE,ChiCTR2000029734,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029734,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00060,ChiCTR2000029732,TRUE,ChiCTR2000029732,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029732,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00061,ChiCTR2000029695,TRUE,ChiCTR2000029695,1,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00062,ChiCTR2000029656,TRUE,ChiCTR2000029656,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029656,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00063,ChiCTR2000029639,TRUE,ChiCTR2000029639,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029639,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,FALSE
